ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7
-27530.46,-45670.005,-29022.344999999998,-36425.7,-32332.14,-38161.89,-22566.555,-14387.58
-27578.655,-45754.244999999995,-29075.985,-36484.02,-32405.039999999997,-38247.93,-22646.204999999998,-14467.5
-27602.64,-45810.36,-29110.995,-36547.424999999996,-32507.64,-38382.435,-22751.91,-14531.175
-27615.375,-45861.165,-29177.64,-36652.59,-32649.12,-38552.715,-22873.454999999998,-14581.35
-27642.51,-45940.95,-29271.555,-36773.46,-32785.47,-38707.92,-22982.895,-14628.914999999999
-27677.295,-46013.22,-29335.815,-36851.13,-32863.5,-38794.365,-23057.145,-14670.72
-27724.364999999998,-46072.259999999995,-29368.395,-36881.865,-32882.04,-38809.935,-23080.59,-14700.285
-27726.75,-46090.979999999996,-29361.375,-36867.645,-32855.22,-38777.4,-23063.985,-14687.505
-27718.425,-46093.32,-29333.385,-36826.515,-32803.604999999996,-38720.97,-23027.129999999997,-14669.055
-27698.805,-46081.53,-29295.539999999997,-36782.505,-32750.82,-38664.045,-22978.8,-14641.38
-27643.094999999998,-46029.104999999996,-29224.844999999998,-36710.82,-32672.565,-38576.43,-22907.34,-14585.13
-27548.414999999997,-45932.085,-29113.92,-36602.955,-32562.495,-38458.53,-22863.465,-14502.285
-27463.635,-45842.22,-29016.36,-36514.08,-32477.309999999998,-38376.765,-22849.2,-14431.14
-27384.93,-45765.314999999995,-28937.204999999998,-36439.29,-32403.285,-38314.665,-22779.315,-14345.369999999999
-27264.42,-45646.965,-28821.87,-36329.895,-32300.01,-38225.744999999995,-22668.344999999998,-14212.89
-27168.75,-45543.15,-28720.035,-36233.865,-32204.07,-38132.1,-22513.05,-14106.24
-27095.129999999997,-45455.4,-28625.129999999997,-36138.42,-32105.07,-38039.22,-22412.61,-14037.21
-27055.844999999998,-45399.78,-28569.059999999998,-36081.81,-32042.385,-37974.825,-22301.594999999998,-13995.539999999999
-27030.69,-45360.854999999996,-28540.575,-36059.534999999996,-32018.265,-37927.08,-22242.105,-13962.465
-27019.89,-45337.68,-28523.789999999997,-36055.305,-32016.51,-37908.99,-22220.954999999998,-13946.355
-27013.454999999998,-45319.545,-28506.195,-36047.025,-31998.645,-37890.09,-22250.024999999998,-13947.119999999999
-27029.52,-45318.015,-28500.48,-36042.03,-31978.215,-37862.145,-22291.605,-13970.025
