ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7
-6189.075,-32283.989999999998,7409.34,-11166.705,4204.889999999999,-23315.67,-1683.7649999999999,13322.16
-6205.7699999999995,-32293.664999999997,7445.205,-11144.789999999999,4223.5199999999995,-23296.725,-1689.705,13308.615
-6213.24,-32279.039999999997,7477.965,-11140.244999999999,4217.3099999999995,-23292.495,-1692.855,13306.859999999999
-6226.29,-32301.809999999998,7468.2,-11141.369999999999,4220.1449999999995,-23283.495,-1690.3799999999999,13303.845
-6203.34,-32310.36,7441.245,-11137.904999999999,4236.974999999999,-23261.579999999998,-1677.1499999999999,13319.1
-6187.905,-32371.335,7379.235,-11156.13,4229.865,-23261.265,-1671.3,13330.755
-6172.245,-32415.795,7356.78,-11142.855,4260.51,-23222.34,-1655.82,13351.14
-6179.264999999999,-32424.3,7364.07,-11154.06,4233.285,-23244.524999999998,-1651.6799999999998,13351.14
-6164.37,-32379.21,7407.045,-11128.545,4250.61,-23227.559999999998,-1653.7949999999998,13354.064999999999
-6174.224999999999,-32378.67,7393.41,-11144.97,4242.51,-23227.695,-1662.7949999999998,13343.31
-6180.075,-32368.14,7383.915,-11171.25,4205.88,-23262.434999999998,-1673.37,13335.164999999999
-6186.24,-32335.515,7407.405,-11161.08,4212.495,-23257.89,-1681.695,13326.255
-6211.26,-32325.704999999998,7410.554999999999,-11166.074999999999,4210.695,-23256.675,-1693.08,13304.43
-6222.915,-32330.745,7416.179999999999,-11164.275,4211.865,-23252.715,-1694.475,13302.99
-6216.21,-32323.815,7433.639999999999,-11152.619999999999,4216.95,-23248.079999999998,-1688.355,13312.125
-6233.175,-32365.754999999997,7428.33,-11148.615,4234.005,-23220.945,-1687.905,13301.144999999999
-6234.57,-32379.3,7420.41,-11155.814999999999,4216.32,-23243.67,-1703.655,13292.369999999999
-6235.155,-32384.789999999997,7437.42,-11134.8,4234.905,-23223.69,-1709.82,13290.345
-6201.54,-32371.469999999998,7435.3949999999995,-11136.645,4236.66,-23209.2,-1684.845,13324.68
-6207.344999999999,-32394.51,7377.389999999999,-11167.02,4221.63,-23210.415,-1677.5549999999998,13325.535
-6227.865,-32368.184999999998,7364.474999999999,-11156.805,4257.63,-23167.395,-1678.095,13311.9
-6232.41,-32335.829999999998,7409.5199999999995,-11180.115,4203.585,-23222.969999999998,-1688.355,13306.41
-6218.6849999999995,-32357.07,7447.7699999999995,-11152.664999999999,4220.505,-23215.364999999998,-1684.26,13317.119999999999
-6214.275,-32416.829999999998,7395.884999999999,-11136.779999999999,4272.12,-23161.86,-1678.8149999999998,13321.305
-6192.224999999999,-32401.26,7356.78,-11119.095,4280.985,-23162.219999999998,-1680.705,13330.125
-6194.745,-32399.055,7380.495,-11095.47,4281.21,-23177.07,-1687.77,13325.715
-6186.15,-32353.965,7423.0199999999995,-11105.324999999999,4250.88,-23209.829999999998,-1690.9199999999998,13334.4
-6177.915,-32364.225,7415.19,-11117.609999999999,4239.72,-23215.725,-1679.8049999999998,13349.43
-6171.255,-32358.914999999997,7411.139999999999,-11112.48,4259.5199999999995,-23190.614999999998,-1670.895,13357.619999999999
-6181.605,-32345.414999999997,7415.594999999999,-11123.189999999999,4253.67,-23186.43,-1675.4399999999998,13347.045
-6180.84,-32337.539999999997,7414.065,-11134.8,4240.665,-23194.079999999998,-1676.79,13342.14
-6205.05,-32348.565,7406.46,-11134.529999999999,4238.01,-23200.155,-1695.645,13320.045
-6207.12,-32338.754999999997,7429.049999999999,-11112.93,4251.51,-23190.66,-1705.095,13314.24
-6221.745,-32335.649999999998,7446.0599999999995,-11100.914999999999,4252.86,-23193.585,-1718.865,13296.869999999999
-6221.115,-32369.985,7435.71,-11097.765,4261.95,-23175.719999999998,-1702.665,13313.25
-6218.01,-32410.53,7395.48,-11126.564999999999,4236.615,-23190.21,-1696.365,13324.41
-6210.179999999999,-32394.555,7372.844999999999,-11132.91,4239.405,-23185.98,-1698.57,13324.14
-6209.775,-32378.985,7390.08,-11130.48,4238.46,-23184.495,-1694.4299999999998,13325.085
-6209.1449999999995,-32369.309999999998,7399.304999999999,-11133.404999999999,4224.24,-23204.16,-1699.7849999999999,13323.285
-6231.6449999999995,-32372.91,7387.335,-11148.3,4212.36,-23220.09,-1722.195,13298.265
-6246.045,-32369.67,7382.61,-11152.664999999999,4219.605,-23209.515,-1724.715,13287.285
-6253.29,-32356.89,7388.415,-11156.4,4215.375,-23214.915,-1728.36,13279.365
-6258.465,-32343.614999999998,7394.085,-11150.82,4223.88,-23205.915,-1730.52,13274.685
-6240.915,-32355.0,7377.795,-11157.48,4217.13,-23212.665,-1720.845,13291.244999999999
-6233.355,-32382.809999999998,7368.884999999999,-11142.9,4236.615,-23199.12,-1713.915,13300.56
-6214.905,-32390.82,7374.87,-11122.109999999999,4253.805,-23192.01,-1705.995,13317.074999999999
-6205.7699999999995,-32355.18,7414.335,-11109.42,4256.595,-23194.305,-1705.365,13322.97
-6225.795,-32339.879999999997,7409.295,-11117.97,4249.215,-23198.175,-1713.915,13307.58
-6219.719999999999,-32359.23,7401.69,-11103.21,4265.37,-23181.165,-1704.24,13320.18
-6219.179999999999,-32409.405,7370.6849999999995,-11101.185,4270.455,-23175.405,-1700.415,13322.519999999999
-6207.255,-32404.094999999998,7353.63,-11116.215,4254.4349999999995,-23185.844999999998,-1704.105,13322.025
-6219.855,-32377.77,7343.1449999999995,-11136.645,4232.115,-23203.934999999998,-1715.22,13308.074999999999
-6246.179999999999,-32390.235,7333.11,-11136.195,4231.755,-23207.715,-1724.445,13291.74
-6233.804999999999,-32386.545,7334.235,-11123.01,4242.285,-23206.86,-1721.79,13299.75
-6216.795,-32380.875,7327.53,-11112.21,4263.21,-23187.195,-1707.2549999999999,13315.32
-6227.82,-32380.289999999997,7298.505,-11127.779999999999,4259.385,-23180.355,-1692.855,13313.205
-6241.95,-32354.64,7307.91,-11124.494999999999,4257.495,-23184.495,-1702.665,13295.835
-6239.88,-32352.614999999998,7308.719999999999,-11108.52,4264.47,-23183.145,-1710.45,13292.189999999999
-6203.115,-32335.469999999998,7334.955,-11074.095,4275.72,-23181.254999999997,-1699.965,13324.904999999999
-6177.69,-32342.489999999998,7289.91,-11085.119999999999,4273.335,-23177.52,-1689.885,13344.21
-6177.465,-32321.16,7248.735,-11106.09,4258.62,-23190.21,-1691.955,13338.855
-6190.875,-32303.835,7271.235,-11070.63,4284.764999999999,-23170.32,-1694.61,13331.88
-6211.035,-32344.515,7275.735,-11057.58,4287.555,-23172.12,-1689.075,13328.505
-6212.565,-32377.815,7262.73,-11048.13,4294.845,-23163.39,-1683.72,13332.555
-6213.69,-32386.995,7206.57,-11069.865,4282.875,-23165.73,-1684.8899999999999,13325.939999999999
-6206.58,-32380.335,7178.535,-11068.289999999999,4286.88,-23167.575,-1693.935,13323.779999999999
-6175.62,-32366.43,7170.615,-11048.49,4309.155,-23158.215,-1681.965,13346.55
-6142.905,-32314.725,7151.49,-11059.38,4294.3949999999995,-23185.215,-1675.62,13365.855
-6142.365,-32300.954999999998,7149.6449999999995,-11061.63,4288.095,-23203.665,-1673.9099999999999,13370.31
-6165.63,-32314.59,7140.6449999999995,-11066.984999999999,4283.595,-23213.565,-1685.8799999999999,13349.654999999999
-6161.58,-32290.425,7160.49,-11042.595,4313.655,-23184.27,-1680.57,13350.51
-6173.73,-32269.094999999998,7154.594999999999,-11060.73,4301.73,-23188.32,-1684.7549999999999,13336.695
-6190.29,-32250.465,7157.79,-11068.199999999999,4302.72,-23166.855,-1675.575,13334.984999999999
-6221.07,-32284.8,7156.304999999999,-11064.42,4291.65,-23178.96,-1677.6899999999998,13324.859999999999
-6198.12,-32348.699999999997,7145.639999999999,-11050.38,4289.67,-23189.85,-1674.495,13341.914999999999
-6163.155,-32365.395,7134.12,-11023.83,4301.37,-23188.545,-1674.405,13357.71
-6156.855,-32335.875,7093.889999999999,-11042.685,4283.01,-23209.515,-1686.2849999999999,13350.779999999999
-6144.84,-32317.245,7085.429999999999,-11037.105,4295.88,-23195.79,-1678.8149999999998,13363.56
-6131.115,-32307.66,7078.995,-11027.52,4303.035,-23183.01,-1662.84,13379.085
