ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7
-8897.22,-29882.745,-6426.495,-22820.175,-21436.245,-26094.015,-21126.6,-2153.79
-8902.305,-29895.48,-6429.825,-22820.805,-21444.57,-26123.715,-21142.215,-2153.61
-8890.74,-29896.335,-6414.48,-22806.315,-21439.26,-26136.225,-21151.844999999998,-2144.52
-8887.41,-29886.93,-6402.42,-22798.26,-21434.265,-26131.815,-21151.934999999998,-2144.025
-8892.225,-29891.879999999997,-6408.315,-22797.405,-21420.765,-26094.78,-21133.125,-2148.0299999999997
-8900.145,-29914.065,-6430.41,-22809.645,-21416.445,-26059.995,-21117.105,-2160.495
-8890.83,-29906.82,-6428.969999999999,-22806.855,-21404.34,-26034.84,-21106.665,-2163.285
-8884.89,-29889.0,-6425.73,-22806.675,-21399.3,-26029.079999999998,-21113.46,-2171.3849999999998
-8876.52,-29857.364999999998,-6416.82,-22815.855,-21412.215,-26053.649999999998,-21120.614999999998,-2170.845
-8885.609999999999,-29849.265,-6419.07,-22832.37,-21445.065,-26104.77,-21120.704999999998,-2169.54
-8893.44,-29861.28,-6433.155,-22834.395,-21456.27,-26120.34,-21122.235,-2162.97
-8884.98,-29892.645,-6456.105,-22825.035,-21447.135,-26130.78,-21127.77,-2143.08
-8874.404999999999,-29926.44,-6482.295,-22836.195,-21462.434999999998,-26163.36,-21136.905,-2134.215
-8875.305,-29935.71,-6469.2,-22831.605,-21454.02,-26150.265,-21141.54,-2146.68
-8891.369999999999,-29936.25,-6442.38,-22811.715,-21424.23,-26098.155,-21128.715,-2161.665
-8911.44,-29934.495,-6429.554999999999,-22800.105,-21402.045,-26050.995,-21115.035,-2180.295
-8937.27,-29926.934999999998,-6420.78,-22789.8,-21386.114999999998,-26020.98,-21109.905,-2201.58
-8936.82,-29922.21,-6413.264999999999,-22780.305,-21377.25,-26014.05,-21108.51,-2202.165
-8920.664999999999,-29918.969999999998,-6403.23,-22774.68,-21376.62,-26024.175,-21105.719999999998,-2186.19
-8930.115,-29935.62,-6407.1449999999995,-22778.28,-21384.63,-26044.11,-21107.79,-2180.43
-8915.67,-29924.64,-6400.08,-22777.965,-21393.989999999998,-26067.555,-21112.605,-2167.1549999999997
-8891.414999999999,-29910.6,-6398.054999999999,-22784.489999999998,-21412.485,-26108.774999999998,-21125.88,-2152.665
-8889.39,-29902.274999999998,-6399.2699999999995,-22797.135,-21434.805,-26151.84,-21141.719999999998,-2150.775
-8897.13,-29899.305,-6403.005,-22797.045,-21433.77,-26148.735,-21139.875,-2149.2
-8906.535,-29909.114999999998,-6422.175,-22789.44,-21408.614999999998,-26096.445,-21113.864999999998,-2148.795
-8917.875,-29929.68,-6436.62,-22788.405,-21387.465,-26041.68,-21087.27,-2159.595
-8926.74,-29944.53,-6437.655,-22792.004999999997,-21378.555,-26014.05,-21074.67,-2169.72
-8923.68,-29941.379999999997,-6428.16,-22786.559999999998,-21371.445,-26010.45,-21075.39,-2170.89
-8901.539999999999,-29909.925,-6402.6449999999995,-22773.059999999998,-21370.05,-26023.635,-21080.34,-2159.325
-8896.23,-29902.995,-6397.5599999999995,-22771.26,-21378.195,-26048.07,-21096.899999999998,-2157.345
-8897.31,-29912.489999999998,-6409.304999999999,-22784.129999999997,-21401.28,-26085.87,-21113.145,-2155.95
-8889.84,-29911.32,-6413.3099999999995,-22795.065,-21420.719999999998,-26124.84,-21121.695,-2141.595
-8883.0,-29903.219999999998,-6406.155,-22794.84,-21428.325,-26149.14,-21129.255,-2128.455
-8898.615,-29920.14,-6415.065,-22802.985,-21434.67,-26152.965,-21133.62,-2135.115
-8909.82,-29933.055,-6420.554999999999,-22799.745,-21419.415,-26113.95,-21119.76,-2142.495
-8925.93,-29953.35,-6438.915,-22805.91,-21408.165,-26072.37,-21104.91,-2158.92
-8915.31,-29949.254999999997,-6448.32,-22816.934999999998,-21410.28,-26058.149999999998,-21091.23,-2153.97
-8880.39,-29926.89,-6445.304999999999,-22825.8,-21423.6,-26076.015,-21086.325,-2134.035
-8874.27,-29926.26,-6447.42,-22828.815,-21429.36,-26090.91,-21088.079999999998,-2130.12
-8883.81,-29925.135,-6440.49,-22820.94,-21428.505,-26103.914999999997,-21098.16,-2137.3199999999997
-8895.869999999999,-29906.145,-6410.25,-22790.969999999998,-21404.565,-26095.14,-21106.215,-2142.9449999999997
-8910.855,-29902.949999999997,-6396.795,-22778.684999999998,-21398.715,-26109.719999999998,-21120.21,-2146.41
-8904.42,-29914.425,-6402.599999999999,-22783.14,-21410.73,-26138.969999999998,-21133.215,-2135.88
-8877.42,-29910.51,-6403.995,-22783.815,-21410.505,-26134.605,-21123.675,-2118.645
-8898.75,-29928.78,-6408.54,-22778.55,-21390.075,-26089.965,-21105.765,-2130.165
-8924.67,-29945.699999999997,-6423.929999999999,-22790.43,-21389.94,-26065.664999999997,-21095.19,-2153.295
-8932.365,-29945.295,-6426.134999999999,-22792.364999999998,-21386.114999999998,-26044.695,-21083.265,-2159.73
-8931.195,-29938.545,-6415.92,-22780.89,-21370.725,-26027.235,-21079.575,-2159.8199999999997
-8916.57,-29929.5,-6406.965,-22774.545,-21366.315,-26032.184999999998,-21079.62,-2147.7599999999998
-8910.359999999999,-29924.055,-6409.8,-22783.635,-21384.63,-26066.204999999998,-21091.905,-2145.06
-8894.97,-29900.114999999998,-6398.009999999999,-22792.364999999998,-21407.13,-26109.495,-21102.75,-2137.95
-8886.24,-29890.485,-6392.34,-22802.625,-21430.53,-26158.14,-21117.78,-2132.73
-8893.305,-29902.725,-6397.0199999999995,-22799.79,-21423.78,-26162.73,-21128.94,-2133.72
-8883.045,-29905.379999999997,-6415.0199999999995,-22811.309999999998,-21425.13,-26151.03,-21127.68,-2130.615
-8880.885,-29920.094999999998,-6461.37,-22821.434999999998,-21423.465,-26126.954999999998,-21117.87,-2139.12
-8902.08,-29952.585,-6500.565,-22820.355,-21404.969999999998,-26081.73,-21101.985,-2156.625
-8913.42,-29979.36,-6489.224999999999,-22810.59,-21386.969999999998,-26049.51,-21085.965,-2158.875
-8928.0,-29989.53,-6451.965,-22801.454999999998,-21383.684999999998,-26053.065,-21092.76,-2169.045
-8932.32,-29959.425,-6421.455,-22786.875,-21376.53,-26057.07,-21099.42,-2171.295
-8917.47,-29920.77,-6396.165,-22773.87,-21373.92,-26067.69,-21105.405,-2164.545
-8909.234999999999,-29901.465,-6386.8949999999995,-22767.795,-21375.045,-26081.325,-21112.469999999998,-2161.665
-8911.484999999999,-29909.52,-6392.745,-22771.079999999998,-21385.755,-26111.61,-21124.53,-2158.605
