ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7
-15075.765,-28447.92,-11016.63,-25448.625,-3454.1549999999997,-27132.975,-8334.0,246.64499999999998
-15075.18,-28448.37,-11012.67,-25442.954999999998,-3459.33,-27142.965,-8343.494999999999,240.03
-15077.97,-28443.645,-11006.91,-25439.94,-3461.1299999999997,-27146.52,-8351.73,235.125
-15075.99,-28437.344999999998,-11003.13,-25438.004999999997,-3455.415,-27137.61,-8347.635,236.88
-15084.945,-28433.969999999998,-11001.824999999999,-25435.844999999998,-3453.12,-27135.09,-8347.994999999999,236.20499999999998
-15077.925,-28422.09,-10998.27,-25438.95,-3458.25,-27137.204999999998,-8347.635,237.42
-15067.529999999999,-28410.3,-10995.119999999999,-25443.809999999998,-3464.5499999999997,-27140.309999999998,-8348.67,237.32999999999998
-15069.51,-28391.94,-10976.039999999999,-25436.114999999998,-3456.6299999999997,-27130.545,-8339.265,245.16
-15071.265,-28403.954999999998,-10984.859999999999,-25436.655,-3454.245,-27124.379999999997,-8332.515,248.76
-15056.144999999999,-28442.204999999998,-10998.99,-25451.415,-3452.1299999999997,-27114.12,-8321.31,264.06
-15056.505,-28438.335,-11007.81,-25462.079999999998,-3448.17,-27105.39,-8319.645,262.26
-15066.09,-28434.78,-11014.92,-25460.55,-3448.2599999999998,-27107.055,-8326.935,242.54999999999998
-15078.779999999999,-28444.14,-11000.97,-25441.425,-3442.455,-27103.725,-8332.289999999999,228.32999999999998
-15081.84,-28442.835,-10996.56,-25424.415,-3440.745,-27106.515,-8337.015,235.53
-15061.05,-28440.315,-11012.265,-25432.92,-3457.2599999999998,-27125.145,-8344.845,253.935
-15048.09,-28430.01,-11017.574999999999,-25445.61,-3466.44,-27130.094999999998,-8342.145,251.73
-15065.82,-28438.065,-11027.97,-25454.879999999997,-3472.515,-27129.69,-8340.795,236.745
-15070.859999999999,-28427.489999999998,-11013.345,-25449.254999999997,-3468.33,-27126.989999999998,-8345.744999999999,231.795
-15088.23,-28438.875,-11009.654999999999,-25443.855,-3473.865,-27135.719999999998,-8350.425,224.505
-15081.885,-28454.489999999998,-11027.295,-25450.605,-3477.06,-27135.315,-8348.715,230.57999999999998
-15048.99,-28416.645,-11034.765,-25458.344999999998,-3479.355,-27133.425,-8345.295,243.09
-15026.22,-28375.289999999997,-11010.105,-25451.19,-3469.23,-27122.129999999997,-8339.94,245.60999999999999
-15032.295,-28397.835,-11014.74,-25457.94,-3472.065,-27120.555,-8340.074999999999,243.67499999999998
-15015.869999999999,-28353.059999999998,-11007.72,-25461.809999999998,-3474.765,-27120.735,-8340.615,243.98999999999998
-15031.529999999999,-28385.82,-11007.72,-25449.84,-3466.62,-27117.899999999998,-8334.18,249.345
-15056.64,-28547.774999999998,-11035.26,-25437.42,-3463.335,-27122.265,-8332.154999999999,257.175
-15052.949999999999,-28537.739999999998,-11052.27,-25438.23,-3469.185,-27132.75,-8344.08,251.82
-15022.935,-28488.285,-11054.564999999999,-25439.489999999998,-3470.4449999999997,-27132.254999999997,-8343.9,258.885
-14999.894999999999,-28448.145,-11042.369999999999,-25442.19,-3475.845,-27130.815,-8341.605,262.62
-15023.654999999999,-28454.76,-11045.52,-25451.055,-3486.4649999999997,-27130.545,-8349.074999999999,245.51999999999998
-15022.98,-28441.844999999998,-11034.314999999999,-25452.719999999998,-3481.335,-27120.87,-8343.99,248.13
-15018.345,-28433.114999999998,-11030.895,-25457.535,-3486.1949999999997,-27126.18,-8342.775,248.57999999999998
-15011.595,-28431.045,-11032.74,-25463.114999999998,-3491.37,-27131.895,-8340.164999999999,250.10999999999999
-14997.824999999999,-28425.465,-11036.025,-25460.01,-3486.285,-27125.46,-8339.22,253.70999999999998
-14987.07,-28409.805,-11027.789999999999,-25456.274999999998,-3483.27,-27120.329999999998,-8339.265,254.88
-15004.619999999999,-28427.805,-11028.914999999999,-25451.235,-3482.865,-27122.94,-8343.18,251.45999999999998
-15020.055,-28458.855,-11044.845,-25450.649999999998,-3484.62,-27124.559999999998,-8345.52,247.635
-15043.59,-28465.605,-11057.175,-25454.565,-3488.1749999999997,-27128.385,-8348.625,239.535
-15034.814999999999,-28440.855,-11051.234999999999,-25455.6,-3498.2549999999997,-27141.524999999998,-8362.935,230.04
-15002.91,-28403.1,-11043.314999999999,-25463.745,-3499.875,-27138.69,-8366.67,231.57
-14988.105,-28381.68,-11045.34,-25475.489999999998,-3496.3199999999997,-27126.405,-8358.84,233.595
-14993.91,-28403.684999999998,-11044.529999999999,-25485.344999999998,-3494.205,-27117.495,-8346.42,237.69
-15032.88,-28467.539999999997,-11062.215,-25485.39,-3488.85,-27109.395,-8333.414999999999,240.435
-15058.394999999999,-28488.465,-11062.845,-25461.405,-3478.815,-27106.245,-8332.83,243.315
-15019.064999999999,-28511.055,-11059.74,-25458.614999999998,-3492.99,-27125.73,-8343.72,252.72
-15012.99,-28480.364999999998,-11072.564999999999,-25479.899999999998,-3514.77,-27143.73,-8359.65,245.07
-15027.164999999999,-28468.125,-11070.539999999999,-25487.055,-3511.845,-27136.89,-8365.455,223.82999999999998
-15034.635,-28463.489999999998,-11081.34,-25491.465,-3507.615,-27131.715,-8366.039999999999,208.39499999999998
-15039.675,-28480.995,-11081.88,-25476.3,-3500.19,-27128.789999999997,-8364.06,212.17499999999998
-15031.755,-28499.85,-11061.539999999999,-25444.215,-3487.5899999999997,-27123.93,-8361.494999999999,230.48999999999998
-14994.945,-28483.515,-11053.619999999999,-25438.23,-3491.37,-27126.855,-8358.39,245.83499999999998
-14976.404999999999,-28480.23,-11070.045,-25448.04,-3500.5049999999997,-27132.704999999998,-8357.355,245.83499999999998
-14973.435,-28467.945,-11096.189999999999,-25468.29,-3521.205,-27151.02,-8364.69,242.325
-14986.755,-28461.329999999998,-11096.82,-25477.379999999997,-3524.58,-27150.164999999997,-8364.96,238.905
-15008.894999999999,-28459.305,-11087.279999999999,-25470.855,-3516.5699999999997,-27141.344999999998,-8365.455,233.595
-15013.125,-28454.805,-11085.345,-25471.125,-3519.045,-27144.27,-8370.36,225.63
-15000.345,-28448.504999999997,-11080.17,-25473.059999999998,-3514.41,-27137.655,-8364.105,232.10999999999999
-14979.779999999999,-28443.42,-11071.755,-25468.829999999998,-3505.77,-27126.405,-8353.845,243.045
-14989.994999999999,-28456.379999999997,-11073.824999999999,-25461.675,-3500.73,-27120.645,-8349.795,242.05499999999998
-14980.635,-28429.379999999997,-11058.795,-25463.835,-3507.39,-27125.954999999998,-8347.994999999999,246.87
-14975.91,-28438.785,-11051.595,-25464.555,-3510.6299999999997,-27127.8,-8343.945,252.495
-14987.025,-28454.715,-11065.59,-25463.34,-3508.92,-27124.695,-8342.505,250.56
-14993.73,-28466.055,-11083.23,-25469.235,-3517.335,-27132.254999999997,-8354.295,244.035
-14976.09,-28461.555,-11083.59,-25470.0,-3520.08,-27135.899999999998,-8358.21,245.79
-14955.029999999999,-28455.434999999998,-11092.05,-25475.489999999998,-3524.805,-27139.094999999998,-8359.74,251.505
-14957.55,-28445.67,-11088.99,-25482.239999999998,-3527.145,-27137.745,-8358.705,253.035
-14969.564999999999,-28438.695,-11083.68,-25485.704999999998,-3530.6549999999997,-27140.265,-8362.619999999999,245.655
-14957.099999999999,-28401.704999999998,-11062.26,-25478.73,-3521.6549999999997,-27130.05,-8357.715,253.48499999999999
-14955.48,-28402.92,-11055.869999999999,-25476.614999999998,-3519.045,-27126.045,-8353.71,256.815
-14958.63,-28461.285,-11079.99,-25479.225,-3518.8199999999997,-27123.795,-8353.125,252.81
-14979.33,-28460.114999999998,-11097.99,-25486.425,-3529.395,-27132.84,-8358.255,240.345
-15009.66,-28474.965,-11108.52,-25484.399999999998,-3538.44,-27143.594999999998,-8371.845,226.26
-15009.615,-28524.015,-11125.755,-25490.25,-3544.47,-27149.445,-8377.92,223.785
-14962.545,-28477.17,-11125.215,-25493.355,-3538.17,-27139.5,-8369.91,236.97
-14948.73,-28451.879999999997,-11112.21,-25500.645,-3535.515,-27132.614999999998,-8362.395,241.73999999999998
-14974.335,-28456.965,-11119.77,-25511.895,-3539.97,-27133.739999999998,-8363.34,235.39499999999998
-15004.394999999999,-28444.86,-11122.965,-25511.489999999998,-3538.89,-27131.129999999997,-8365.815,228.51
-15016.59,-28478.25,-11109.42,-25488.495,-3526.1099999999997,-27120.555,-8364.33,229.995
-14970.06,-28486.754999999997,-11088.99,-25468.29,-3519.99,-27117.495,-8358.164999999999,247.85999999999999
-14955.345,-28453.68,-11081.925,-25481.43,-3536.19,-27132.48,-8353.215,254.07
-14969.205,-28484.28,-11100.914999999999,-25493.94,-3540.015,-27130.77,-8346.645,253.30499999999998
-14978.295,-28490.805,-11121.705,-25497.18,-3540.6,-27130.454999999998,-8355.24,244.30499999999998
-14972.13,-28489.59,-11122.244999999999,-25498.395,-3542.49,-27132.164999999997,-8360.145,249.255
-14946.75,-28476.405,-11109.375,-25494.434999999998,-3537.45,-27125.235,-8355.105,259.695
-14922.99,-28433.07,-11093.895,-25484.04,-3526.245,-27114.164999999997,-8349.074999999999,263.43
-14936.039999999999,-28443.195,-11089.17,-25485.524999999998,-3527.8199999999997,-27115.379999999997,-8346.375,262.98
-14949.585,-28451.745,-11082.42,-25471.215,-3514.995,-27101.655,-8334.27,272.025
-14939.369999999999,-28447.559999999998,-11090.97,-25468.92,-3519.27,-27106.785,-8333.235,276.34499999999997
-14913.314999999999,-28437.03,-11094.39,-25480.8,-3534.5699999999997,-27118.62,-8334.494999999999,283.72499999999997
-14907.33,-28423.125,-11079.18,-25481.16,-3531.1949999999997,-27112.86,-8331.164999999999,287.775
-14914.619999999999,-28427.895,-11077.965,-25480.8,-3526.6949999999997,-27105.84,-8330.31,284.94
-14916.555,-28423.89,-11079.81,-25481.25,-3530.295,-27109.17,-8337.914999999999,276.435
-14913.539999999999,-28413.36,-11080.439999999999,-25479.45,-3528.9,-27107.684999999998,-8336.654999999999,274.77
-14920.785,-28407.329999999998,-11090.564999999999,-25487.415,-3539.565,-27118.98,-8341.83,266.805
-14947.92,-28425.914999999997,-11100.869999999999,-25492.14,-3542.49,-27120.195,-8346.869999999999,260.505
-14950.215,-28427.94,-11106.855,-25504.155,-3550.5899999999997,-27125.954999999998,-8356.365,253.665
-14952.779999999999,-28413.719999999998,-11093.895,-25502.265,-3546.81,-27122.489999999998,-8355.914999999999,254.295
-14966.82,-28464.704999999998,-11101.32,-25488.495,-3534.39,-27111.195,-8347.185,257.31
-14955.48,-28472.85,-11114.73,-25488.36,-3534.165,-27108.899999999998,-8342.64,261.22499999999997
-14934.42,-28457.19,-11115.765,-25493.04,-3538.08,-27112.364999999998,-8342.91,268.74
-14947.515,-28439.145,-11126.789999999999,-25515.045,-3548.6099999999997,-27118.754999999997,-8350.605,257.085
-14965.695,-28441.215,-11107.71,-25517.475,-3535.875,-27099.899999999998,-8339.895,258.48
-15004.215,-28490.039999999997,-11105.505,-25507.754999999997,-3526.6949999999997,-27090.765,-8334.539999999999,254.655
-14980.949999999999,-28477.305,-11101.5,-25491.105,-3528.54,-27097.515,-8331.164999999999,267.615
-14926.41,-28426.364999999998,-11101.59,-25484.579999999998,-3533.1299999999997,-27104.265,-8328.24,286.155
-14904.539999999999,-28454.265,-11111.445,-25479.27,-3532.6349999999998,-27107.055,-8331.57,295.11
-14877.855,-28431.855,-11100.195,-25470.18,-3533.49,-27112.725,-8337.015,296.82
-14860.935,-28411.92,-11099.52,-25477.29,-3538.125,-27112.86,-8330.94,302.49
-14892.974999999999,-28469.565,-11122.515,-25489.035,-3545.73,-27114.885,-8334.225,292.22999999999996
-14914.664999999999,-28467.855,-11134.035,-25491.735,-3554.055,-27121.094999999998,-8344.395,281.88
-14915.564999999999,-28446.164999999997,-11122.289999999999,-25492.545,-3549.6,-27116.055,-8339.67,284.94
-14921.685,-28425.149999999998,-11116.664999999999,-25495.29,-3543.705,-27108.18,-8339.22,283.005
-14914.215,-28416.015,-11121.48,-25501.004999999997,-3546.765,-27109.664999999997,-8344.845,278.325
-14936.49,-28435.094999999998,-11128.68,-25505.73,-3550.5899999999997,-27112.184999999998,-8349.93,267.57
-14968.98,-28480.68,-11134.98,-25502.219999999998,-3548.745,-27109.664999999997,-8347.59,266.625
-14948.55,-28489.094999999998,-11157.795,-25507.665,-3556.4849999999997,-27115.649999999998,-8355.15,258.705
-14932.755,-28445.715,-11168.73,-25516.26,-3576.4649999999997,-27138.285,-8374.59,239.48999999999998
-14960.97,-28485.36,-11173.365,-25520.355,-3579.615,-27136.664999999997,-8370.045,233.91
-14958.72,-28482.254999999997,-11148.164999999999,-25503.344999999998,-3561.5699999999997,-27117.945,-8351.64,260.865
