ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7
-19887.255,-30732.93,-1131.075,-6207.84,-7138.665,-20112.075,-3178.575,1904.04
-19881.18,-30723.21,-1133.82,-6207.795,-7135.155,-20104.155,-3178.125,1906.5149999999999
-19910.565,-30779.37,-1175.76,-6207.974999999999,-7115.58,-20064.555,-3156.39,1907.9099999999999
-19942.469999999998,-30820.59,-1212.3899999999999,-6215.76,-7114.455,-20051.64,-3149.64,1893.33
-19900.755,-30794.579999999998,-1167.345,-6184.53,-7094.745,-20038.14,-3141.765,1915.56
-19891.395,-30797.864999999998,-1140.12,-6173.55,-7087.139999999999,-20032.065,-3140.685,1919.475
-19888.92,-30772.53,-1103.085,-6171.75,-7101.8099999999995,-20048.175,-3145.545,1914.615
-19889.19,-30759.254999999997,-1099.53,-6185.295,-7128.45,-20071.395,-3153.915,1904.985
-19850.175,-30735.989999999998,-1130.22,-6218.37,-7179.66,-20126.835,-3143.6099999999997,1929.1499999999999
-19814.895,-30696.39,-1107.81,-6226.065,-7225.605,-20200.815,-3146.9849999999997,1941.975
-19832.04,-30711.735,-1092.0149999999999,-6190.245,-7170.12,-20155.86,-3147.8399999999997,1931.58
-19887.12,-30781.844999999998,-1145.97,-6187.95,-7086.105,-20028.915,-3154.5899999999997,1898.595
-19877.67,-30773.204999999998,-1150.83,-6187.094999999999,-7077.15,-20004.57,-3153.1949999999997,1902.8249999999998
-19862.954999999998,-30755.114999999998,-1141.83,-6189.48,-7103.429999999999,-20043.36,-3150.3599999999997,1908.81
-19851.524999999998,-30752.82,-1149.48,-6190.29,-7100.28,-20037.42,-3143.205,1921.095
-19855.755,-30757.815,-1155.4199999999998,-6195.915,-7108.695,-20046.555,-3148.875,1914.3899999999999
-19868.67,-30776.625,-1160.145,-6201.63,-7118.955,-20059.065,-3155.1749999999997,1903.8149999999998
-19865.655,-30762.0,-1129.32,-6183.135,-7110.179999999999,-20054.79,-3163.41,1901.34
-19851.165,-30724.965,-1117.8899999999999,-6194.429999999999,-7137.945,-20091.645,-3187.7999999999997,1890.6299999999999
-19834.38,-30733.515,-1134.0449999999998,-6192.0,-7132.1849999999995,-20082.285,-3159.54,1917.585
-19854.27,-30780.899999999998,-1151.28,-6190.335,-7128.945,-20077.469999999998,-3120.705,1928.655
-19852.559999999998,-30777.254999999997,-1150.695,-6214.7699999999995,-7177.679999999999,-20140.38,-3133.5299999999997,1916.73
-19840.77,-30771.495,-1144.98,-6216.255,-7180.2,-20149.515,-3141.0899999999997,1916.9099999999999
-19845.855,-30765.914999999997,-1141.74,-6187.86,-7105.139999999999,-20055.059999999998,-3141.27,1911.195
-19823.67,-30718.98,-1105.335,-6176.205,-7109.639999999999,-20065.995,-3135.87,1918.845
-19836.495,-30735.315,-1131.3,-6192.63,-7127.91,-20086.02,-3141.18,1907.955
-19852.829999999998,-30747.285,-1141.83,-6190.83,-7122.014999999999,-20082.239999999998,-3153.015,1895.85
-19860.165,-30756.69,-1147.0049999999999,-6187.7699999999995,-7105.365,-20058.795,-3151.17,1896.2549999999999
-19867.905,-30760.02,-1135.98,-6166.304999999999,-7080.165,-20025.495,-3140.505,1900.26
-19885.32,-30790.574999999997,-1143.36,-6160.275,-7074.134999999999,-20018.114999999998,-3137.265,1894.6799999999998
-19846.98,-30767.219999999998,-1124.82,-6155.639999999999,-7078.23,-20018.114999999998,-3125.565,1917.09
-19831.815,-30782.07,-1149.2549999999999,-6172.38,-7088.49,-20024.145,-3115.845,1928.8799999999999
-19836.405,-30816.675,-1183.905,-6187.545,-7086.24,-20016.719999999998,-3110.625,1932.12
-19824.12,-30800.114999999998,-1179.18,-6191.415,-7097.625,-20031.48,-3120.48,1933.29
-19804.364999999998,-30746.07,-1148.3999999999999,-6187.139999999999,-7109.73,-20049.165,-3129.165,1932.885
-19810.755,-30746.699999999997,-1138.2749999999999,-6194.205,-7129.17,-20066.625,-3127.545,1928.34
-19823.085,-30773.565,-1147.455,-6199.155,-7142.355,-20076.48,-3128.49,1921.095
-19811.024999999998,-30757.23,-1140.705,-6195.78,-7147.62,-20088.09,-3129.8849999999998,1925.73
-19814.895,-30731.85,-1149.885,-6213.96,-7152.929999999999,-20097.989999999998,-3143.43,1909.8
-19815.434999999998,-30703.77,-1121.2649999999999,-6188.8949999999995,-7126.335,-20073.195,-3158.19,1902.6899999999998
-19819.89,-30721.68,-1131.2549999999999,-6176.565,-7099.29,-20034.899999999998,-3140.955,1910.655
-19838.88,-30750.524999999998,-1142.6399999999999,-6173.28,-7088.13,-20010.78,-3126.015,1908.72
-19845.495,-30758.129999999997,-1145.0249999999999,-6181.785,-7106.67,-20035.125,-3141.27,1895.715
-19840.59,-30757.815,-1129.0049999999999,-6167.88,-7094.79,-20019.915,-3140.325,1903.4099999999999
-19816.695,-30744.719999999998,-1103.58,-6159.24,-7104.014999999999,-20032.469999999998,-3113.955,1926.405
-19795.094999999998,-30735.539999999997,-1096.065,-6171.795,-7144.29,-20079.719999999998,-3109.14,1936.53
-19789.649999999998,-30735.539999999997,-1112.715,-6190.155,-7170.3,-20108.475,-3117.555,1931.985
-19777.77,-30727.98,-1111.455,-6178.455,-7147.889999999999,-20087.684999999998,-3117.15,1938.24
-19793.204999999998,-30740.219999999998,-1125.72,-6176.295,-7118.1449999999995,-20047.86,-3133.71,1917.6299999999999
-19777.905,-30727.53,-1118.43,-6171.4349999999995,-7104.33,-20032.155,-3123.63,1930.9499999999998
-19761.03,-30719.43,-1108.1699999999998,-6161.94,-7099.469999999999,-20036.34,-3115.665,1942.965
-19778.309999999998,-30748.905,-1121.175,-6155.639999999999,-7074.855,-20000.969999999998,-3109.41,1935.54
-19799.864999999998,-30763.8,-1123.155,-6158.745,-7079.085,-20001.555,-3101.94,1923.7949999999998
-19783.53,-30738.195,-1102.1399999999999,-6141.915,-7062.57,-19988.145,-3100.995,1930.5449999999998
-19762.11,-30714.254999999997,-1087.47,-6134.804999999999,-7068.69,-19999.844999999998,-3098.88,1940.22
-19771.559999999998,-30723.164999999997,-1094.805,-6137.639999999999,-7072.83,-20002.59,-3099.33,1932.885
-19762.785,-30704.309999999998,-1080.045,-6125.67,-7062.12,-19993.32,-3092.895,1940.31
-19762.739999999998,-30702.465,-1077.03,-6132.735,-7078.5,-20014.335,-3100.68,1932.9299999999998
-19759.545,-30719.789999999997,-1074.42,-6126.929999999999,-7080.795,-20017.305,-3092.58,1943.595
-19748.114999999998,-30720.015,-1075.095,-6135.3,-7110.09,-20057.13,-3090.42,1950.615
-19750.725,-30713.039999999997,-1096.11,-6151.005,-7120.62,-20070.989999999998,-3100.545,1938.87
-19731.51,-30692.07,-1104.165,-6155.73,-7120.62,-20077.605,-3099.555,1947.8249999999998
-19733.895,-30721.32,-1113.165,-6134.625,-7067.745,-20017.215,-3086.595,1958.715
-19763.864999999998,-30750.704999999998,-1122.7949999999998,-6138.945,-7059.78,-19996.965,-3086.2349999999997,1938.645
-19748.34,-30720.149999999998,-1098.855,-6130.17,-7056.2699999999995,-19995.48,-3084.48,1945.8899999999999
-19772.954999999998,-30725.594999999998,-1091.655,-6133.23,-7060.545,-19997.55,-3087.9449999999997,1931.985
-19777.274999999998,-30716.19,-1066.95,-6114.195,-7044.255,-19980.989999999998,-3080.9249999999997,1934.685
-19786.094999999998,-30734.28,-1082.565,-6128.28,-7060.59,-20000.295,-3084.75,1925.9099999999999
-19784.88,-30741.12,-1089.72,-6131.474999999999,-7063.38,-20009.79,-3091.545,1923.5249999999999
-19745.505,-30698.64,-1085.355,-6125.8949999999995,-7061.535,-20015.28,-3092.94,1939.455
-19750.68,-30702.239999999998,-1101.06,-6135.705,-7070.219999999999,-20024.594999999998,-3095.5499999999997,1932.615
-19770.93,-30731.67,-1110.465,-6138.945,-7071.525,-20023.469999999998,-3090.825,1925.46
-19768.815,-30733.605,-1103.5349999999999,-6135.21,-7077.15,-20033.864999999998,-3087.765,1930.6799999999998
-19737.765,-30731.445,-1101.555,-6127.2,-7069.094999999999,-20028.239999999998,-3068.19,1960.6499999999999
-19721.43,-30722.985,-1093.4099999999999,-6113.745,-7045.965,-20002.995,-3057.8849999999998,1973.2949999999998
-19718.235,-30690.855,-1081.845,-6116.355,-7051.86,-20005.38,-3067.38,1966.5449999999998
