local_timestamp,eeg_timestamp,label
1763988974.605543,10313.51261595,Trial_1_Start
1763988974.6059635,10313.513038149998,Posture_A_Flex_your_arm_after_the_sound
1763988974.6061823,10313.51325155,PromptStart_Trial_1
1763988982.5766559,10321.483723550002,PromptEnd_Trial_1
1763988982.577149,10321.48421865,FixationStart_Trial_1
1763988983.5783484,10322.48541595,FixationEnd_Trial_1
1763988983.5787997,10322.48586895,PostureStart_Trial_1
1763988986.5785415,10325.485609349998,PostureEnd_Trial_1
1763988986.5789862,10325.486057049999,TrialEnd_Trial_1
1763988987.0944955,10326.001563049998,Trial_1_Complete
1763988987.1115544,10326.01862265,Trial_2_Start
1763988987.1119864,10326.01905585,Posture_A_Rest_your_arm_flexed_after_the_sound
1763988987.1123548,10326.019424850001,PromptStart_Trial_2
1763988995.1093822,10334.016450350002,PromptEnd_Trial_2
1763988995.1099112,10334.016981150002,FixationStart_Trial_2
1763988996.1117055,10335.018773349999,FixationEnd_Trial_2
1763988996.1121526,10335.01922415,PostureStart_Trial_2
1763988999.118083,10338.02515215,PostureEnd_Trial_2
1763988999.118826,10338.025901149998,TrialEnd_Trial_2
1763988999.6196978,10338.52677045,Trial_2_Complete
1763988999.6357157,10338.54278565,Trial_3_Start
1763988999.6364357,10338.543510250001,Posture_A_Extend_your_arm_after_the_sound
1763988999.6370897,10338.544168249999,PromptStart_Trial_3
1763989007.63188,10346.538948950001,PromptEnd_Trial_3
1763989007.6325526,10346.53962675,FixationStart_Trial_3
1763989008.6452863,10347.55235595,FixationEnd_Trial_3
1763989008.645739,10347.55280845,PostureStart_Trial_3
1763989011.659637,10350.56670495,PostureEnd_Trial_3
1763989011.6605973,10350.567675850001,TrialEnd_Trial_3
1763989012.172338,10351.079405150002,Trial_3_Complete
1763989012.1888494,10351.09591755,Trial_4_Start
1763989012.189361,10351.096439149998,Posture_A_Rest_your_arm_extended_after_the_sound
1763989012.189752,10351.096821849998,PromptStart_Trial_4
1763989020.1846309,10359.09170235,PromptEnd_Trial_4
1763989020.1856456,10359.092726449999,FixationStart_Trial_4
1763989021.1860375,10360.093104349999,FixationEnd_Trial_4
1763989021.186543,10360.09361185,PostureStart_Trial_4
1763989024.1942859,10363.10135755,PostureEnd_Trial_4
1763989024.1950302,10363.102103950001,TrialEnd_Trial_4
1763989024.7093284,10363.616396450001,Trial_4_Complete
1763989024.7259166,10363.63298505,Trial_5_Start
1763989024.726374,10363.63344555,Posture_A_Flex_your_arm_after_the_sound
1763989024.726703,10363.633773649999,PromptStart_Trial_5
1763989032.7226179,10371.62969025,PromptEnd_Trial_5
1763989032.7231793,10371.630253750001,FixationStart_Trial_5
1763989033.725056,10372.63212395,FixationEnd_Trial_5
1763989033.725584,10372.63265615,PostureStart_Trial_5
1763989036.7280326,10375.63510295,PostureEnd_Trial_5
1763989036.7289083,10375.63598635,TrialEnd_Trial_5
1763989037.2299917,10376.13706135,Trial_5_Complete
1763989037.2462268,10376.153295749999,Trial_6_Start
1763989037.2469404,10376.154016249999,Posture_A_Rest_your_arm_flexed_after_the_sound
1763989037.24753,10376.154603449999,PromptStart_Trial_6
1763989045.2465117,10384.153580450002,PromptEnd_Trial_6
1763989045.2471948,10384.154270250001,FixationStart_Trial_6
1763989046.254451,10385.16152025,FixationEnd_Trial_6
1763989046.2549214,10385.16199335,PostureStart_Trial_6
1763989049.2668989,10388.17396805,PostureEnd_Trial_6
1763989049.2674098,10388.17448025,TrialEnd_Trial_6
1763989049.767737,10388.67480465,Trial_6_Complete
1763989049.7844996,10388.69156775,Trial_7_Start
1763989049.784939,10388.692008850001,Posture_A_Extend_your_arm_after_the_sound
1763989049.785309,10388.69237995,PromptStart_Trial_7
1763989057.7772393,10396.684312550002,PromptEnd_Trial_7
1763989057.7779555,10396.685030650002,FixationStart_Trial_7
1763989058.7859428,10397.69301145,FixationEnd_Trial_7
1763989058.7864726,10397.69354375,PostureStart_Trial_7
1763989061.8025036,10400.70957215,PostureEnd_Trial_7
1763989061.8032098,10400.710285149999,TrialEnd_Trial_7
1763989062.3175113,10401.22457935,Trial_7_Complete
1763989062.3343704,10401.24143895,Trial_8_Start
1763989062.3347032,10401.241774549999,Posture_A_Rest_your_arm_extended_after_the_sound
1763989062.3349695,10401.24203855,PromptStart_Trial_8
1763989070.3299942,10409.237060750002,PromptEnd_Trial_8
1763989070.3303232,10409.237390850001,FixationStart_Trial_8
1763989071.3381784,10410.245246449998,FixationEnd_Trial_8
1763989071.3386574,10410.24572725,PostureStart_Trial_8
1763989074.3392513,10413.246323849999,PostureEnd_Trial_8
1763989074.3397145,10413.24678545,TrialEnd_Trial_8
1763989074.8551967,10413.76226625,Trial_8_Complete
1763989074.8719382,10413.779010049999,Trial_9_Start
1763989074.8726404,10413.77971435,Posture_A_Flex_your_arm_after_the_sound
1763989074.8732314,10413.780308649999,PromptStart_Trial_9
1763989082.8558786,10421.762946350002,PromptEnd_Trial_9
1763989082.8563352,10421.76340585,FixationStart_Trial_9
1763989083.8594213,10422.76649505,FixationEnd_Trial_9
1763989083.8603976,10422.767475550001,PostureStart_Trial_9
1763989086.8594363,10425.76650355,PostureEnd_Trial_9
1763989086.8599346,10425.76700535,TrialEnd_Trial_9
1763989087.3735414,10426.28060925,Trial_9_Complete
1763989087.3900387,10426.29711245,Trial_10_Start
1763989087.3904908,10426.29756445,Posture_A_Rest_your_arm_flexed_after_the_sound
1763989087.390912,10426.29798255,PromptStart_Trial_10
1763989095.3773243,10434.28439075,PromptEnd_Trial_10
1763989095.3776598,10434.28472765,FixationStart_Trial_10
1763989096.389781,10435.296848850001,FixationEnd_Trial_10
1763989096.3902707,10435.29734175,PostureStart_Trial_10
1763989099.4038503,10438.31091805,PostureEnd_Trial_10
1763989099.404306,10438.31137535,TrialEnd_Trial_10
1763989099.9183671,10438.82543465,Trial_10_Complete
1763989099.9359057,10438.842973750001,Trial_11_Start
1763989099.9363234,10438.84339365,Posture_A_Extend_your_arm_after_the_sound
1763989099.936657,10438.843728749998,PromptStart_Trial_11
1763989107.924425,10446.83149185,PromptEnd_Trial_11
1763989107.9247775,10446.83184595,FixationStart_Trial_11
1763989108.933824,10447.84089145,FixationEnd_Trial_11
1763989108.9343462,10447.841415949999,PostureStart_Trial_11
1763989111.9346688,10450.841736850001,PostureEnd_Trial_11
1763989111.9350886,10450.84216055,TrialEnd_Trial_11
1763989112.4509187,10451.357986849998,Trial_11_Complete
1763989112.4682643,10451.375333650001,Trial_12_Start
1763989112.468668,10451.375740250001,Posture_A_Rest_your_arm_extended_after_the_sound
1763989112.4689884,10451.37605865,PromptStart_Trial_12
1763989120.4532557,10459.360323550001,PromptEnd_Trial_12
1763989120.4537406,10459.360811449998,FixationStart_Trial_12
1763989121.4537928,10460.360860249999,FixationEnd_Trial_12
1763989121.4543653,10460.361438250002,PostureStart_Trial_12
1763989124.4597852,10463.36685265,PostureEnd_Trial_12
1763989124.4602377,10463.367307550001,TrialEnd_Trial_12
1763989124.9758112,10463.88287995,Trial_12_Complete
1763989124.9922402,10463.89930855,Trial_13_Start
1763989124.9926445,10463.89971545,Posture_A_Flex_your_arm_after_the_sound
1763989124.9930255,10463.900095550001,PromptStart_Trial_13
1763989132.9762516,10471.88332325,PromptEnd_Trial_13
1763989132.9769902,10471.884080150001,FixationStart_Trial_13
1763989133.9776506,10472.884718550002,FixationEnd_Trial_13
1763989133.9781058,10472.88517545,PostureStart_Trial_13
1763989136.9791093,10475.88618165,PostureEnd_Trial_13
