ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7
-50242.68,-60376.634999999995,-23257.305,-30330.18,-31074.795,-46296.854999999996,-39513.825,-44629.424999999996
-50283.585,-60413.67,-23282.594999999998,-30360.465,-31101.434999999998,-46320.659999999996,-39561.705,-44672.445
-50313.6,-60439.725,-23302.035,-30375.0,-31130.055,-46353.195,-39595.455,-44702.82
-50335.83,-60458.04,-23315.805,-30376.53,-31142.07,-46366.74,-39613.905,-44724.465
-50354.595,-60465.015,-23316.254999999997,-30375.719999999998,-31152.105,-46375.515,-39628.08,-44742.24
-50392.08,-60480.18,-23323.995,-30408.12,-31196.43,-46422.494999999995,-39660.435,-44781.165
-50387.13,-60481.755,-23334.075,-30412.71,-31207.05,-46430.865,-39648.915,-44771.354999999996
-50414.715,-60524.729999999996,-23376.645,-30455.19,-31235.175,-46452.42,-39670.335,-44798.04
-50414.715,-60540.299999999996,-23420.925,-30493.035,-31245.75,-46454.625,-39679.604999999996,-44800.604999999996
-50392.439999999995,-60532.244999999995,-23464.44,-30532.545,-31241.565,-46443.645,-39675.104999999996,-44783.64
-50437.034999999996,-60565.185,-23487.165,-30542.355,-31265.145,-46482.615,-39726.225,-44830.979999999996
-50450.805,-60585.435,-23500.215,-30537.135,-31270.32,-46490.534999999996,-39737.385,-44840.25
-50460.21,-60607.755,-23515.469999999998,-30533.715,-31277.835,-46497.915,-39750.615,-44848.845
-50484.645,-60651.225,-23529.645,-30569.129999999997,-31310.774999999998,-46526.085,-39777.299999999996,-44873.189999999995
-50510.34,-60671.744999999995,-23559.075,-30600.945,-31347.899999999998,-46559.52,-39814.515,-44904.825
-50514.03,-60659.415,-23571.18,-30589.695,-31346.64,-46560.195,-39831.75,-44911.575
-50525.325,-60656.985,-23578.29,-30579.93,-31342.77,-46563.615,-39844.395,-44923.14
-50567.805,-60687.99,-23597.864999999998,-30602.34,-31379.715,-46603.619999999995,-39875.22,-44962.2
-50569.155,-60688.215,-23601.87,-30604.77,-31392.585,-46613.52,-39879.405,-44964.765
-50588.415,-60715.53,-23610.825,-30627.675,-31417.425,-46634.04,-39898.26,-44982.945
-50623.02,-60760.259999999995,-23640.434999999998,-30678.84,-31459.815,-46674.045,-39940.29,-45018.405
-50634.45,-60807.375,-23705.594999999998,-30761.82,-31484.699999999997,-46680.21,-39932.595,-45014.759999999995
-50654.43,-60828.57,-23724.945,-30786.39,-31499.864999999998,-46691.955,-39933.854999999996,-45026.235
-50661.09,-60808.229999999996,-23714.145,-30750.48,-31490.37,-46690.515,-39954.24,-45043.47
-50681.7,-60829.064999999995,-23732.01,-30763.44,-31502.07,-46705.545,-39979.845,-45067.275
-50670.945,-60829.965,-23782.364999999998,-30762.539999999997,-31502.34,-46708.155,-39980.52,-45057.24
-50669.055,-60815.115,-23806.17,-30744.675,-31506.93,-46717.56,-39992.939999999995,-45060.345
-50690.205,-60841.845,-23818.725,-30758.625,-31530.78,-46742.354999999996,-40020.479999999996,-45080.415
-50717.97,-60860.744999999995,-23845.815,-30803.129999999997,-31572.899999999998,-46784.835,-40054.994999999995,-45110.43
-50749.02,-60893.46,-23864.219999999998,-30832.965,-31600.215,-46810.665,-40084.65,-45141.03
-50757.525,-60908.805,-23875.29,-30824.28,-31597.515,-46809.72,-40090.725,-45147.689999999995
-50780.655,-60926.805,-23890.815,-30828.059999999998,-31608.225,-46821.689999999995,-40113.45,-45168.84
-50792.445,-60921.63,-23899.454999999998,-30828.195,-31623.795,-46839.24,-40143.015,-45187.83
-50796.0,-60925.95,-23915.204999999998,-30864.239999999998,-31648.094999999998,-46855.845,-40149.854999999996,-45192.15
-50807.564999999995,-60948.27,-23942.07,-30926.52,-31674.914999999997,-46869.299999999996,-40148.505,-45197.189999999995
-50839.83,-60998.04,-23972.85,-30964.635,-31687.289999999997,-46875.24,-40156.74,-45213.255
-50848.74,-61012.305,-24003.0,-30948.84,-31689.719999999998,-46893.645,-40188.284999999996,-45222.795
-50887.845,-61042.095,-24034.725,-30943.215,-31721.67,-46943.729999999996,-40246.695,-45277.604999999996
-50909.265,-61045.829999999994,-24058.079999999998,-30951.18,-31735.62,-46958.939999999995,-40268.115,-45336.555
-50908.68,-61056.314999999995,-24084.135,-30973.949999999997,-31752.855,-46967.4,-40264.74,-45316.665
-50905.575,-61068.689999999995,-24101.504999999997,-30994.739999999998,-31772.295,-46979.415,-40267.619999999995,-45281.295
-50926.455,-61083.854999999996,-24115.545,-31009.815,-31781.61,-46981.17,-40277.564999999995,-45317.159999999996
-50940.314999999995,-61093.755,-24132.329999999998,-31023.405,-31790.879999999997,-46987.064999999995,-40277.744999999995,-45332.009999999995
-50929.965,-61081.424999999996,-24138.09,-31008.195,-31776.93,-46974.195,-40270.275,-45312.345
-50935.95,-61095.149999999994,-24151.364999999998,-31011.704999999998,-31784.489999999998,-46981.979999999996,-40265.189999999995,-45305.189999999995
-50964.345,-61126.11,-24174.899999999998,-31029.164999999997,-31799.25,-46996.47,-40290.84,-45338.265
-50946.39,-61107.524999999994,-24191.64,-31003.92,-31779.765,-46977.479999999996,-40284.63,-45324.494999999995
-50965.83,-61117.515,-24213.239999999998,-31023.899999999998,-31811.039999999997,-47012.354999999996,-40319.64,-45350.145
-50972.67,-61115.265,-24227.37,-31046.039999999997,-31834.62,-47037.375,-40344.165,-45362.61
-50976.36,-61114.994999999995,-24238.485,-31059.539999999997,-31841.46,-47043.9,-40354.155,-45364.545
-50973.03,-61102.71,-24238.53,-31054.635,-31836.105,-47039.715,-40353.165,-45355.365
-51005.564999999995,-61133.67,-24251.445,-31072.23,-31859.01,-47059.064999999995,-40363.335,-45384.03
-51021.63,-61162.29,-24258.87,-31068.989999999998,-31871.789999999997,-47073.195,-40366.08,-45408.645
-51015.33,-61179.659999999996,-24264.36,-31067.19,-31874.039999999997,-47079.27,-40375.35,-45401.445
-51042.78,-61208.055,-24286.5,-31103.954999999998,-31910.399999999998,-47113.74,-40407.659999999996,-45425.07
-51059.52,-61198.965,-24299.325,-31102.379999999997,-31924.574999999997,-47123.28,-40432.365,-45445.005
-51045.39,-61170.479999999996,-24304.995,-31095.315,-31917.914999999997,-47117.07,-40435.02,-45436.14
-51059.744999999995,-61177.59,-24340.23,-31154.219999999998,-31938.03,-47132.955,-40449.195,-45451.665
-51067.125,-61177.32,-24340.59,-31174.515,-31934.07,-47127.104999999996,-40451.895,-45456.075
-51083.369999999995,-61225.695,-24350.129999999997,-31176.855,-31950.539999999997,-47144.744999999995,-40461.299999999996,-45467.369999999995
-51083.729999999996,-61246.935,-24387.795,-31162.094999999998,-31959.27,-47149.424999999996,-40455.09,-45463.095
-51087.06,-61245.18,-24388.785,-31153.32,-31954.635,-47142.99,-40458.689999999995,-45463.095
-51099.119999999995,-61282.439999999995,-24416.325,-31193.504999999997,-31955.399999999998,-47144.52,-40472.189999999995,-45477.18
-51102.045,-61283.25,-24442.695,-31207.23,-31957.559999999998,-47147.625,-40492.439999999995,-45488.07
-51088.545,-61268.49,-24458.715,-31179.239999999998,-31950.18,-47143.53,-40498.965,-45481.229999999996
