ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7
-25131.96,-44005.455,-25444.44,-32150.07,-28763.01,-34590.825,-19916.864999999998,-11475.494999999999
-25088.04,-43952.939999999995,-25402.545,-32115.914999999997,-28734.344999999998,-34578.315,-19884.69,-11437.47
-25013.52,-43870.77,-25337.879999999997,-32073.39,-28718.19,-34600.095,-19879.92,-11385.81
-24962.67,-43815.915,-25300.17,-32053.094999999998,-28709.28,-34597.53,-19869.524999999998,-11353.23
-24965.415,-43833.6,-25324.695,-32081.94,-28741.68,-34596.18,-19860.21,-11348.145
-24995.565,-43873.064999999995,-25360.155,-32112.539999999997,-28762.335,-34596.405,-19863.989999999998,-11360.52
-25054.965,-43929.134999999995,-25393.815,-32131.62,-28758.555,-34590.15,-19879.559999999998,-11405.07
-25117.605,-43988.354999999996,-25425.045,-32138.055,-28736.1,-34553.52,-19872.0,-11443.005
-25169.129999999997,-44032.905,-25462.17,-32157.315,-28729.71,-34535.79,-19881.719999999998,-11479.14
-25209.855,-44060.895,-25485.165,-32181.57,-28755.495,-34560.945,-19915.2,-11519.64
-25209.225,-44045.055,-25464.645,-32167.26,-28754.414999999997,-34570.845,-19965.285,-11525.445
-25188.165,-44018.28,-25443.315,-32157.225,-28767.329999999998,-34606.305,-20077.829999999998,-11522.97
-25168.905,-44001.854999999996,-25439.76,-32168.789999999997,-28811.565,-34685.729999999996,-20147.399999999998,-11531.564999999999
-25153.92,-44003.52,-25458.12,-32199.39,-28862.73,-34760.295,-20129.219999999998,-11530.619999999999
-25171.605,-44030.295,-25505.37,-32260.004999999997,-28928.204999999998,-34812.36,-20118.149999999998,-11559.105
-25164.09,-44040.24,-25546.41,-32317.965,-28990.664999999997,-34865.82,-20217.105,-11569.365
-25217.64,-44099.189999999995,-25615.17,-32387.805,-29044.71,-34924.32,-20301.524999999998,-11634.93
-25323.165,-44203.229999999996,-25707.914999999997,-32469.975,-29106.765,-34971.255,-20357.1,-11724.255
-25431.075,-44310.42,-25806.555,-32559.524999999998,-29186.19,-35042.4,-20418.165,-11810.97
-25522.559999999998,-44393.13,-25883.325,-32636.16,-29272.59,-35139.869999999995,-20612.295,-11910.51
-25581.465,-44435.159999999996,-25918.289999999997,-32675.355,-29326.77,-35219.79,-20778.704999999998,-11994.435
-25642.17,-44489.655,-25977.914999999997,-32743.574999999997,-29413.079999999998,-35353.35,-20912.399999999998,-12077.46
-25779.6,-44623.755,-26110.395,-32877.9,-29552.805,-35510.49,-20869.245,-12208.095
-25918.92,-44769.06,-26254.62,-33022.17,-29699.28,-35682.119999999995,-20844.045,-12302.1
-26044.785,-44908.155,-26401.68,-33164.505,-29833.289999999997,-35791.11,-20938.454999999998,-12398.175
-26182.8,-45024.21,-26499.239999999998,-33219.9,-29815.92,-35611.604999999996,-21065.579999999998,-12554.865
-26273.25,-45123.255,-26602.875,-33315.659999999996,-29880.315,-35673.75,-21168.045,-12653.91
-26314.559999999998,-45170.1,-26641.26,-33352.29,-29919.059999999998,-35792.729999999996,-21267.989999999998,-12687.164999999999
-26326.98,-45175.814999999995,-26639.864999999998,-33354.135,-29949.93,-35859.689999999995,-21287.25,-12679.695
-26359.289999999997,-45209.88,-26682.704999999998,-33408.045,-30032.055,-35939.835,-21162.059999999998,-12684.33
-26350.965,-45194.085,-26665.469999999998,-33379.74,-29980.215,-35798.715,-21192.57,-12696.615
-26341.739999999998,-45197.909999999996,-26669.52,-33376.905,-29960.235,-35717.805,-21261.015,-12677.805
-26321.039999999997,-45183.689999999995,-26661.42,-33378.525,-29972.789999999997,-35784.314999999995,-21247.155,-12647.34
-26314.829999999998,-45157.32,-26633.925,-33351.479999999996,-29953.305,-35798.534999999996,-21154.32,-12657.779999999999
-26345.655,-45193.77,-26665.02,-33371.369999999995,-29953.664999999997,-35772.345,-21082.68,-12672.855
-26395.515,-45264.42,-26715.6,-33410.61,-29986.739999999998,-35799.39,-21155.13,-12704.31
-26454.69,-45339.615,-26771.625,-33464.34,-30045.735,-35863.74,-21227.985,-12766.32
-26470.215,-45342.81,-26789.489999999998,-33487.29,-30074.445,-35891.505,-21263.309999999998,-12793.904999999999
-26473.905,-45333.18,-26798.805,-33500.744999999995,-30094.02,-35909.055,-21281.579999999998,-12806.055
