ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7
-151381.44,-165011.49,-142093.62,-150112.755,-155131.065,-172274.04,-955.395,-139455.81
-151428.06,-165058.51499999998,-142149.555,-150167.34,-155166.38999999998,-172330.245,-934.515,-139442.35499999998
-151415.55,-165074.04,-142149.24,-150164.055,-155170.665,-172324.57499999998,-945.9,-139436.63999999998
-151424.46,-165127.32,-142151.94,-150160.455,-155175.47999999998,-172315.62,-962.73,-139445.55
-151392.24,-165053.88,-142114.13999999998,-150134.895,-155173.13999999998,-172293.525,-1011.8249999999999,-139459.995
-151368.705,-165021.79499999998,-142105.13999999998,-150133.68,-155189.25,-172299.645,-1061.19,-139477.32
-151361.505,-165076.425,-142122.50999999998,-150149.205,-155210.13,-172309.32,-1089.8999999999999,-139488.615
-151329.41999999998,-165056.805,-142106.535,-150135.3,-155206.845,-172295.775,-1132.605,-139493.115
-151368.255,-165031.155,-142133.175,-150160.725,-155218.59,-172321.245,-1141.965,-139494.555
-151415.37,-165031.65,-142143.79499999998,-150183.09,-155229.07499999998,-172347.705,-1140.615,-139486.94999999998
-151448.66999999998,-165065.805,-142160.04,-150189.07499999998,-155221.335,-172356.345,-1142.82,-139470.93
-151450.245,-165105.81,-142171.47,-150183.72,-155201.715,-172340.63999999998,-1150.2,-139451.805
-151479.04499999998,-165139.60499999998,-142193.655,-150200.82,-155207.745,-172354.005,-1145.61,-139443.79499999998
-151497.315,-165120.07499999998,-142207.245,-150224.94,-155239.47,-172382.85,-1158.075,-139455.04499999998
-151463.835,-165090.33,-142192.755,-150212.97,-155244.78,-172367.72999999998,-1205.055,-139463.865
-151475.49,-165167.955,-142223.85,-150239.205,-155278.35,-172396.08,-1222.245,-139476.41999999998
-151461.85499999998,-165161.79,-142211.745,-150238.53,-155296.305,-172402.155,-1259.6399999999999,-139489.91999999998
-151427.07,-165104.865,-142187.26499999998,-150225.93,-155294.63999999998,-172397.115,-1305.0449999999998,-139492.44
-151423.19999999998,-165151.305,-142194.33,-150219.54,-155278.755,-172380.69,-1322.145,-139484.25
-151455.33,-165162.285,-142222.905,-150242.445,-155278.88999999998,-172395.44999999998,-1322.5049999999999,-139470.79499999998
-151503.975,-165159.54,-142241.13,-150271.245,-155292.165,-172429.875,-1313.6399999999999,-139457.16
-151556.49,-165209.31,-142272.9,-150296.35499999998,-155303.865,-172455.75,-1299.24,-139450.995
-151546.005,-165199.275,-142265.88,-150288.615,-155298.69,-172448.055,-1321.56,-139449.24
-151555.32,-165194.72999999998,-142265.925,-150296.13,-155316.33,-172459.16999999998,-1340.235,-139461.38999999998
-151514.415,-165168.13499999998,-142244.505,-150282.99,-155322.405,-172446.12,-1379.07,-139471.02
-151482.01499999998,-165171.375,-142230.06,-150266.52,-155325.41999999998,-172426.41,-1429.065,-139488.38999999998
-151468.02,-165156.79499999998,-142218.945,-150257.52,-155331.225,-172420.47,-1471.59,-139501.305
-151482.24,-165135.87,-142218.72,-150265.62,-155339.63999999998,-172431.76499999998,-1508.6699999999998,-139508.955
-151532.505,-165171.10499999998,-142261.38,-150306.93,-155360.29499999998,-172468.16999999998,-1509.975,-139504.815
-151570.665,-165215.88,-142294.32,-150331.185,-155365.965,-172482.79499999998,-1504.08,-139493.52
-151618.05,-165248.055,-142316.82,-150349.13999999998,-155368.71,-172504.16999999998,-1491.84,-139476.41999999998
